City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Upernavik,GL,2022-01-29 15:23:26,72.7868,-56.1549,7.99,88,100,20.42
261,Daru,PG,2022-01-29 15:23:27,-9.0763,143.2092,79.47,84,100,11.48
262,Ancud,CL,2022-01-29 15:23:27,-41.8697,-73.8203,67.42,61,8,8.12
263,Jaguarao,BR,2022-01-29 15:23:28,-32.5661,-53.3758,78.17,45,45,11.43
264,Waingapu,ID,2022-01-29 15:23:28,-9.6567,120.2641,79.86,81,100,8.61
265,Cervo,ES,2022-01-29 15:23:28,43.6702,-7.4101,52.97,70,0,15.19
266,Siocon,PH,2022-01-29 15:23:29,7.7061,122.1353,77.86,86,64,0.76
267,Umea,SE,2022-01-29 15:19:49,63.8284,20.2597,31.93,93,90,3.44
268,Sept-Iles,CA,2022-01-29 15:23:29,50.2001,-66.3821,0.05,63,100,1.99
269,Iaciara,BR,2022-01-29 15:23:30,-14.0958,-46.6317,81.14,61,82,6.11
270,Portland,US,2022-01-29 15:21:22,45.5234,-122.6762,38.86,82,20,8.01
271,San Jose De Sisa,PE,2022-01-29 15:23:30,-6.6167,-76.6915,84.72,56,92,1.99
272,Carutapera,BR,2022-01-29 15:23:31,-1.195,-46.02,73.58,95,100,4.21
273,Port Augusta,AU,2022-01-29 15:19:18,-32.5,137.7667,79.7,57,4,11.72
274,Ust-Kuyga,RU,2022-01-29 15:23:31,70.0167,135.6,-34.29,100,100,4.81
275,Primorsko,BG,2022-01-29 15:24:32,42.2667,27.7667,40.21,72,36,4.05
276,Boa Vista,BR,2022-01-29 15:24:32,2.8197,-60.6733,85.98,48,40,13.8
277,Srednekolymsk,RU,2022-01-29 15:24:33,67.45,153.6833,-16.82,99,98,3.8
278,Shimoda,JP,2022-01-29 15:24:33,34.6667,138.95,41.11,63,22,12.3
279,Filingue,NE,2022-01-29 15:24:34,14.3521,3.3168,87.98,9,19,17.4
280,Kiama,AU,2022-01-29 15:24:16,-34.6833,150.8667,76.37,85,100,5.99
281,Madhoganj,IN,2022-01-29 15:24:34,27.1167,80.15,54.93,62,0,7.65
282,Artvin,TR,2022-01-29 15:24:34,41.1667,41.8333,33.08,88,58,3.44
283,Doha,QA,2022-01-29 15:19:52,25.2867,51.5333,64.71,61,0,13.8
284,Shetpe,KZ,2022-01-29 15:24:35,44.1667,52.1167,30.79,72,2,0.87
285,Saldanha,ZA,2022-01-29 15:22:23,-33.0117,17.9442,87.85,69,0,22.28
286,Van,TR,2022-01-29 15:24:36,38.4924,43.3831,27.75,93,75,5.75
